5.590690227088367101e+05,6.319219171132081188e+06
5.590680072820819914e+05,6.319218717335169204e+06
5.590690227088367101e+05,6.319218187156598084e+06
5.590680297472757520e+05,6.319217692922336981e+06
5.590690316949140979e+05,6.319217176222882234e+06
5.590816840919982642e+05,6.319219445207445882e+06
5.591532132686963305e+05,6.319218357892069034e+06
5.591527235274739796e+05,6.319217814234381542e+06
5.591532222547738347e+05,6.319217355944430456e+06
5.591527190344352275e+05,6.319216861710169353e+06
5.591532222547738347e+05,6.319216362982870080e+06
