1.141114799232815813e+03,7.772764028955020876e+02
1.374447720101466530e+03,7.953176081173050989e+02
1.524791096949823896e+03,7.832901379694365005e+02
1.766543246921982700e+03,8.013313431912392844e+02
1.901250912578110729e+03,7.905066200581575231e+02
5.541742560168285081e+02,5.487544700859989462e+02
1.079551135309036738e+02,3.334627544391512401e+02
1.404292829301489007e+02,3.358682484687249143e+02
1.692952112850335027e+02,3.334627544391512401e+02
2.029721276990655667e+02,3.370709954835117514e+02
2.342435500835238997e+02,3.346655014539380772e+02
